Gmt time,Open,High,Low,Close,Volume
07.07.2021 03:30:00.000,1.18223,1.18239,1.18218,1.18234,233839996.81480002
07.07.2021 03:45:00.000,1.18234,1.18249,1.18227,1.18248,271429999.17270005
07.07.2021 04:00:00.000,1.18249,1.18259,1.18244,1.18252,184400000.5722
07.07.2021 04:15:00.000,1.18253,1.18267,1.18252,1.18262,281089998.2453
07.07.2021 04:30:00.000,1.18262,1.18263,1.18227,1.18242,618000005.7219001
07.07.2021 04:45:00.000,1.18242,1.18247,1.18185,1.18235,1293399993.8966
07.07.2021 05:00:00.000,1.18236,1.18286,1.18221,1.18286,1077509999.2751
07.07.2021 05:15:00.000,1.18288,1.18300,1.18246,1.18256,880640008.9264001
07.07.2021 05:30:00.000,1.18255,1.18344,1.18251,1.18337,1143940002.4415002
07.07.2021 05:45:00.000,1.18338,1.18339,1.18300,1.18303,1207329999.9238002
07.07.2021 06:00:00.000,1.18303,1.18303,1.18216,1.18252,2309490016.9371
07.07.2021 06:15:00.000,1.18251,1.18287,1.18248,1.18282,1483649997.7113
07.07.2021 06:30:00.000,1.18281,1.18307,1.18250,1.18283,827599998.4741
07.07.2021 06:45:00.000,1.18282,1.18289,1.18223,1.18268,892490001.6782999
07.07.2021 07:00:00.000,1.18268,1.18299,1.18129,1.18190,1700060001.3733
07.07.2021 07:15:00.000,1.18187,1.18244,1.18152,1.18242,1483890003.2041998
07.07.2021 07:30:00.000,1.18240,1.18240,1.18118,1.18177,1432399993.8964
07.07.2021 07:45:00.000,1.18177,1.18275,1.18162,1.18255,1341489990.2343
07.07.2021 08:00:00.000,1.18255,1.18321,1.18225,1.18273,2118120010.3760998
07.07.2021 08:15:00.000,1.18273,1.18294,1.18230,1.18248,1329579990.3871002
07.07.2021 08:30:00.000,1.18247,1.18264,1.18148,1.18179,1150710002.8990998
07.07.2021 08:45:00.000,1.18182,1.18246,1.18167,1.18239,1051930004.12
07.07.2021 09:00:00.000,1.18239,1.18304,1.18216,1.18216,1448759984.9699
07.07.2021 09:15:00.000,1.18213,1.18236,1.18174,1.18218,1100770011.9019
07.07.2021 09:30:00.000,1.18216,1.18267,1.18201,1.18235,921739992.1416999
07.07.2021 09:45:00.000,1.18236,1.18290,1.18224,1.18287,718570001.6021001
07.07.2021 10:00:00.000,1.18288,1.18302,1.18231,1.18233,986050001.1445
07.07.2021 10:15:00.000,1.18234,1.18247,1.18209,1.18233,952700016.0217999
07.07.2021 10:30:00.000,1.18233,1.18238,1.18185,1.18191,754350007.0572001
07.07.2021 10:45:00.000,1.18190,1.18226,1.18188,1.18200,811819986.3433999
07.07.2021 11:00:00.000,1.18200,1.18228,1.18176,1.18205,963939998.6266001
07.07.2021 11:15:00.000,1.18203,1.18217,1.18168,1.18174,985820005.4169999
07.07.2021 11:30:00.000,1.18172,1.18217,1.18151,1.18217,632580001.8311
07.07.2021 11:45:00.000,1.18216,1.18258,1.18199,1.18225,767410001.7547
07.07.2021 12:00:00.000,1.18225,1.18322,1.18220,1.18307,1391109992.9809
07.07.2021 12:15:00.000,1.18307,1.18364,1.18266,1.18274,1679459995.2698998
07.07.2021 12:30:00.000,1.18278,1.18281,1.18155,1.18235,1976389976.5015
07.07.2021 12:45:00.000,1.18234,1.18242,1.18124,1.18157,2223420005.7983
07.07.2021 13:00:00.000,1.18157,1.18182,1.18056,1.18071,2019599964.1418998
07.07.2021 13:15:00.000,1.18072,1.18127,1.18066,1.18097,1417689998.6267998
07.07.2021 13:30:00.000,1.18098,1.18132,1.17999,1.18050,2620379966.7359004
07.07.2021 13:45:00.000,1.18049,1.18067,1.18006,1.18049,1887089988.7082999
07.07.2021 14:00:00.000,1.18051,1.18057,1.17931,1.17935,2627230010.9864
07.07.2021 14:15:00.000,1.17936,1.17944,1.17846,1.17848,2171110015.8693004
07.07.2021 14:30:00.000,1.17846,1.17900,1.17815,1.17898,2007040000.9155998
07.07.2021 14:45:00.000,1.17897,1.17995,1.17893,1.17986,2184940025.3294997
07.07.2021 15:00:00.000,1.17986,1.18009,1.17918,1.17946,1759880008.6974998
07.07.2021 15:15:00.000,1.17947,1.17995,1.17929,1.17959,1570049991.6078
07.07.2021 15:30:00.000,1.17956,1.18037,1.17921,1.18014,1432860004.425
07.07.2021 15:45:00.000,1.18016,1.18037,1.17973,1.18030,1013689983.3677001
07.07.2021 16:00:00.000,1.18028,1.18056,1.17982,1.17982,871039999.0081999
07.07.2021 16:15:00.000,1.17982,1.18019,1.17953,1.18019,771170005.7984
07.07.2021 16:30:00.000,1.18018,1.18020,1.17987,1.18012,595589993.9537001
07.07.2021 16:45:00.000,1.18012,1.18043,1.17995,1.18002,785870005.6077
07.07.2021 17:00:00.000,1.18002,1.18027,1.17984,1.18020,506720002.17440003
07.07.2021 17:15:00.000,1.18020,1.18039,1.18010,1.18017,700549997.3298
07.07.2021 17:30:00.000,1.18017,1.18050,1.18010,1.18015,461020000.45759994
07.07.2021 17:45:00.000,1.18016,1.18043,1.18011,1.18014,591050001.1445
07.07.2021 18:00:00.000,1.18013,1.18205,1.17977,1.18096,4756860015.8691
07.07.2021 18:15:00.000,1.18097,1.18181,1.18086,1.18109,1536780002.5942
07.07.2021 18:30:00.000,1.18109,1.18109,1.18062,1.18074,949609996.7956998
07.07.2021 18:45:00.000,1.18072,1.18088,1.18042,1.18055,692219999.3134
07.07.2021 19:00:00.000,1.18053,1.18070,1.18004,1.18025,795620006.5614
07.07.2021 19:15:00.000,1.18023,1.18053,1.18016,1.18046,542190002.4416001
07.07.2021 19:30:00.000,1.18042,1.18059,1.18036,1.18044,341270002.3652
07.07.2021 19:45:00.000,1.18042,1.18061,1.17920,1.17950,1481579977.9892
07.07.2021 20:00:00.000,1.17952,1.17962,1.17891,1.17937,1101310007.0951002
07.07.2021 20:15:00.000,1.17938,1.17938,1.17902,1.17916,287520002.3653
07.07.2021 20:30:00.000,1.17917,1.17943,1.17914,1.17926,132259997.96410002
07.07.2021 20:45:00.000,1.17926,1.17930,1.17899,1.17900,359979996.2042999
07.07.2021 21:00:00.000,1.17900,1.17926,1.17890,1.17906,219670000.3146
07.07.2021 21:15:00.000,1.17902,1.17938,1.17902,1.17916,454960000.03810006
07.07.2021 21:30:00.000,1.17916,1.17935,1.17914,1.17924,286580002.42709994
07.07.2021 21:45:00.000,1.17927,1.17932,1.17921,1.17930,187949999.21330002
07.07.2021 22:00:00.000,1.17932,1.17952,1.17930,1.17948,278690000.89169997
07.07.2021 22:15:00.000,1.17949,1.17955,1.17934,1.17954,320870004.65389997
07.07.2021 22:30:00.000,1.17955,1.17968,1.17950,1.17965,347219996.8694999
07.07.2021 22:45:00.000,1.17964,1.17980,1.17961,1.17973,379320007.3244
07.07.2021 23:00:00.000,1.17976,1.17989,1.17952,1.17957,544060001.3733
07.07.2021 23:15:00.000,1.17958,1.17964,1.17953,1.17959,383100001.69280005
07.07.2021 23:30:00.000,1.17959,1.17965,1.17954,1.17954,119599997.4013
07.07.2021 23:45:00.000,1.17957,1.17960,1.17922,1.17929,235309996.128
08.07.2021 00:00:00.000,1.17928,1.17945,1.17916,1.17940,771729991.9126998
08.07.2021 00:15:00.000,1.17941,1.17946,1.17912,1.17922,721320011.1388999
08.07.2021 00:30:00.000,1.17923,1.17934,1.17904,1.17916,903670004.8446999
08.07.2021 00:45:00.000,1.17916,1.17921,1.17894,1.17908,428719999.3132
08.07.2021 01:00:00.000,1.17910,1.17920,1.17871,1.17901,1220959995.2699
08.07.2021 01:15:00.000,1.17901,1.17925,1.17879,1.17909,670760003.0899
08.07.2021 01:30:00.000,1.17908,1.17950,1.17891,1.17950,815750003.8146
08.07.2021 01:45:00.000,1.17947,1.17950,1.17834,1.17851,1321110004.4251
08.07.2021 02:00:00.000,1.17852,1.17888,1.17850,1.17874,1199810003.2805
08.07.2021 02:15:00.000,1.17875,1.17875,1.17843,1.17871,545369999.8855001
08.07.2021 02:30:00.000,1.17871,1.17886,1.17855,1.17882,453719997.40599996
08.07.2021 02:45:00.000,1.17881,1.17905,1.17877,1.17904,239100002.28879997
08.07.2021 03:00:00.000,1.17903,1.17929,1.17893,1.17921,332539994.71660006
08.07.2021 03:15:00.000,1.17921,1.17921,1.17894,1.17901,308339998.72209996
08.07.2021 03:30:00.000,1.17903,1.17915,1.17896,1.17904,211059999.9425
08.07.2021 03:45:00.000,1.17905,1.17921,1.17902,1.17921,213019998.0735
08.07.2021 04:00:00.000,1.17920,1.17947,1.17917,1.17947,225189999.5804
08.07.2021 04:15:00.000,1.17947,1.17949,1.17930,1.17937,198710000.75349998
08.07.2021 04:30:00.000,1.17936,1.17936,1.17914,1.17931,287949999.09410006
08.07.2021 04:45:00.000,1.17930,1.17961,1.17926,1.17960,211289999.24650002
08.07.2021 05:00:00.000,1.17959,1.17959,1.17932,1.17936,258069998.74110004
08.07.2021 05:15:00.000,1.17937,1.17977,1.17934,1.17966,550980001.9262
08.07.2021 05:30:00.000,1.17965,1.18023,1.17948,1.18020,821609992.9810001
08.07.2021 05:45:00.000,1.18018,1.18068,1.18007,1.18056,1173569992.0654001
08.07.2021 06:00:00.000,1.18055,1.18058,1.17995,1.18038,1888250001.9075
08.07.2021 06:15:00.000,1.18036,1.18036,1.17994,1.18010,2073400032.0435
08.07.2021 06:30:00.000,1.18009,1.18009,1.17921,1.17966,2120810012.8173003
08.07.2021 06:45:00.000,1.17967,1.18001,1.17940,1.17971,2323870010.3759003
08.07.2021 07:00:00.000,1.17971,1.18062,1.17952,1.18018,2774189971.9237995
08.07.2021 07:15:00.000,1.18018,1.18065,1.17995,1.18052,3590829978.9428
08.07.2021 07:30:00.000,1.18053,1.18073,1.18019,1.18040,2476050010.6811
08.07.2021 07:45:00.000,1.18038,1.18206,1.18003,1.18201,4415250015.2588005
08.07.2021 08:00:00.000,1.18199,1.18202,1.18110,1.18139,3288899993.8965
08.07.2021 08:15:00.000,1.18137,1.18165,1.18106,1.18123,4147569969.1770997
